osm_id,name,place,population,municipality,state,country,dist_to_corridor_km
3048437409,Fraccionamiento Rosas del Tepeyac,neighbourhood,,,,,2.391890984283431
3048437410,Fraccionamiento San Luis,neighbourhood,,,,,0.5212472709950952
3048437411,Fraccionamiento Valle Alto,neighbourhood,,,,,3.052866488547069
3048437412,Colonia Villa Real de Santiago,neighbourhood,,,,,2.457101875983922
3048440551,Colonia 18 de marzo,neighbourhood,,,,,3.626940851062705
3048451824,Colonia Campo Colonial,neighbourhood,,,,,3.9924251854930755
3048451825,Fraccionamiento El Consuelo,neighbourhood,,,,,4.6324558857536795
3048451826,Fraccionamiento INFONAVIT II,neighbourhood,,,,,4.468933470186266
3048451827,Fraccionamiento La Diana,neighbourhood,,,,,2.059266123640053
3048451828,Fraccionamiento La Estrella,neighbourhood,,,,,3.953984347527229
3048451829,Colonia Lázaro Cárdenas,neighbourhood,,,,,3.9632437000461294
3048451832,Colonia Solidaridad,neighbourhood,,,,,4.985701109930055
3048451833,Fraccionamiento Praderas del Río,neighbourhood,,,,,1.7854970851772836
3048451835,Colonia Vista Hermosa,neighbourhood,,,,,3.562546927961588
3048451913,Colonia 20 de noviembre,neighbourhood,,,,,3.876904606890737
3048479934,Colonia El Gavilán,neighbourhood,,,,,0.8984704549101725
3048479935,Colonia Gregorio Osuna,neighbourhood,,,,,0.5546000710538206
3048479936,Fraccionamiento José Ma. Morelos y Pavón,neighbourhood,,,,,1.4079119901980408
3048479937,Fraccionamiento Las Huastecas,neighbourhood,,,,,1.3563229545895863
3048479938,Fraccionamiento Lomas de Santiago,neighbourhood,,,,,1.0151742102675898
3057913021,Colonia América,neighbourhood,,,,,2.322833854454194
3057913022,Fraccionamiento Buenos Aires,neighbourhood,,,,,4.630038181251972
3057913023,Colonia El 21,neighbourhood,,,,,4.4801129220708225
3057913025,Colonia Emiliano Zapata,neighbourhood,,,,,3.082747708647543
3057913026,Conjunto Habitacional Ignacio García Téllez,neighbourhood,,,,,2.5488659673298244
3057913027,Colonia Mujeres en Solidaridad,neighbourhood,,,,,2.833786637243139
3057913028,Ejido Plan de Ayala,neighbourhood,,,,,4.640129831261307
3057913029,Colonia Santa Lucía,neighbourhood,,,,,2.467151788045033
3057913030,Ejido Tanculpaya,neighbourhood,,,,,4.124025662047104
3057913031,Colonia Tecnológico,neighbourhood,,,,,3.170980645884518
3057913102,Fraccionamiento Del Sol,neighbourhood,,,,,4.352952958891281
3057913103,Colonia 12 de julio,neighbourhood,,,,,3.4371943001072602
3059872755,Fraccionamiento Bicentenario,neighbourhood,,,,,1.1484872160582305
3059872756,Colonia Militar,neighbourhood,,,,,0.08849061876433838
3059872757,Colonia Vergel,neighbourhood,,,,,1.551288957089399
3060397785,Fraccionamiento Bugambilias,neighbourhood,,,,,4.872584593760626
3067924730,Colonia Palo de Rosa,neighbourhood,,,,,1.3561378401549928
3073809209,Colonia Plan de Ayala,neighbourhood,,,,,1.9523322627523603
3073809210,Colonia Las Brisas,neighbourhood,,,,,3.288085541263137
3073809211,Colonia Los Filtros,neighbourhood,,,,,1.5251624799749024
3073830969,Colonia Bonifacio Salinas,neighbourhood,,,,,2.200260102974302
3073830970,Colonia El Porvenir,neighbourhood,,,,,2.3197496538065874
3073830971,Colonia Margarita de Gortari,neighbourhood,,,,,0.8022326093759642
3073830972,Colonia Nelly Zulaimán,neighbourhood,,,,,2.3658889434632093
3073830973,Fraccionamiento Real de Villas,neighbourhood,,,,,2.4414192060374944
3084018380,Ojo de Agua,hamlet,,,,,3.2488065199260956
3099581065,Colonia Ampliación Las Brisas,neighbourhood,,,,,0.5108866348599348
3099581066,Colonia Centro,neighbourhood,,,,,0.049108813929649164
3099581067,Colonia Del Bosque,neighbourhood,,,,,2.4396283053220333
3099581068,Colonia El Campo,neighbourhood,,,,,0.12103683178386004
3099581069,Colonia Hidalgo,neighbourhood,,,,,0.38510298280152183
3099581070,Fraccionamiento INFONAVIT,neighbourhood,,,,,0.6132475178614247
3099581071,Colonia Juárez,neighbourhood,,,,,0.9193642285448422
3099581072,Colonia La Esperanza,neighbourhood,,,,,1.9181565494119281
3099581073,Colonia La Tomatera,neighbourhood,,,,,0.2710990944501055
3099581074,Colonia Las Brisas,neighbourhood,,,,,0.09587661248045734
3099581075,Colonia Las Gaviotas,neighbourhood,,,,,1.7418789647677457
3099581076,Colonia Las Norias,neighbourhood,,,,,1.1227194651132655
3099581077,Colonia Lindavista,neighbourhood,,,,,0.35354221232085103
3099581078,Fraccionamiento Los Pericos,neighbourhood,,,,,0.4776842589143736
3099581079,Colonia Luis Donaldo Colosio,neighbourhood,,,,,2.270368004735184
3099581080,Colonia Magisterial,neighbourhood,,,,,0.815945631490098
3099581081,Colonia Media Luna,neighbourhood,,,,,0.6439976996533424
3099581082,Colonia Mirasol,neighbourhood,,,,,0.008161540003879444
3099581083,Colonia Morelos,neighbourhood,,,,,0.0851323342523518
3099581084,Fraccionamiento Nuevo Tamuín,neighbourhood,,,,,1.6523201430587682
3099581085,Colonia Pueblo Nuevo,neighbourhood,,,,,1.5543210123470979
3099581086,Colonia Ricardo Flores Magón,neighbourhood,,,,,1.1026809853807005
3099581087,Colonia Salvador Nava Martínez,neighbourhood,,,,,0.20911143530354287
3099581088,Fraccionamiento Valle Alto,neighbourhood,,,,,1.9151450816810802
3099581089,Colonia Vista Alegre,neighbourhood,,,,,2.0790215557999163
